Date;Price;;;;;;;;
26/2/2019;19.166;;;;;;;;
27/2/2019;19.1622;;;;;;;;
28/2/2019;19.2775;;;;;;;;
1/3/2019;19.2574;;;;;;;;
4/3/2019;19.29;;;;;;;;
5/3/2019;19.247;;;;;;;;
6/3/2019;19.36;;;;;;;;
7/3/2019;19.5501;;;;;;;;
8/3/2019;19.4933;;;;;;;;
11/3/2019;19.3945;;;;;;;;
12/3/2019;19.3492;;;;;;;;
13/3/2019;19.2783;;;;;;;;
14/3/2019;19.318;;;;;;;;
15/3/2019;19.1996;;;;;;;;
18/3/2019;19.05;;;;;;;;
19/3/2019;19.0136;;;;;;;;
20/3/2019;18.8282;;;;;;;;
21/3/2019;18.8616;;;;;;;;
22/3/2019;19.0855;;;;;;;;
25/3/2019;19.0125;;;;;;;;
26/3/2019;19.103;;;;;;;;
27/3/2019;19.355;;;;;;;;
28/3/2019;19.335;;;;;;;;
29/3/2019;19.4215;;;;;;;;
1/4/2019;19.138;;;;;;;;
2/4/2019;19.2275;;;;;;;;
3/4/2019;19.21;;;;;;;;
4/4/2019;19.1469;;;;;;;;
5/4/2019;19.0733;;;;;;;;
8/4/2019;18.96;;;;;;;;
9/4/2019;18.9307;;;;;;;;
10/4/2019;18.81;;;;;;;;
11/4/2019;18.826;;;;;;;;
12/4/2019;18.7508;;;;;;;;
15/4/2019;18.8505;;;;;;;;
16/4/2019;18.871;;;;;;;;
17/4/2019;18.8273;;;;;;;;
18/4/2019;18.7975;;;;;;;;
19/4/2019;18.7596;;;;;;;;
22/4/2019;18.8253;;;;;;;;
23/4/2019;18.9042;;;;;;;;
24/4/2019;19.0678;;;;;;;;
25/4/2019;19.015;;;;;;;;
26/4/2019;18.9318;;;;;;;;
29/4/2019;19.0135;;;;;;;;
30/4/2019;18.9402;;;;;;;;
1/5/2019;18.9938;;;;;;;;
2/5/2019;19.1145;;;;;;;;
3/5/2019;18.9155;;;;;;;;
6/5/2019;18.9805;;;;;;;;
7/5/2019;19.032;;;;;;;;
8/5/2019;19.081;;;;;;;;
9/5/2019;19.2264;;;;;;;;
10/5/2019;19.0954;;;;;;;;
13/5/2019;19.224;;;;;;;;
14/5/2019;19.1505;;;;;;;;
15/5/2019;19.0472;;;;;;;;
16/5/2019;19.1209;;;;;;;;
17/5/2019;19.1631;;;;;;;;
20/5/2019;19.06;;;;;;;;
21/5/2019;19.0047;;;;;;;;
22/5/2019;18.9868;;;;;;;;
23/5/2019;19.037;;;;;;;;
24/5/2019;19.0416;;;;;;;;
27/5/2019;19.0531;;;;;;;;
28/5/2019;19.1924;;;;;;;;
29/5/2019;19.1273;;;;;;;;
30/5/2019;19.135;;;;;;;;
31/5/2019;19.612;;;;;;;;
3/6/2019;19.7705;;;;;;;;
4/6/2019;19.5598;;;;;;;;
5/6/2019;19.574;;;;;;;;
6/6/2019;19.6844;;;;;;;;
7/6/2019;19.6105;;;;;;;;
10/6/2019;19.2166;;;;;;;;
11/6/2019;19.125;;;;;;;;
12/6/2019;19.166;;;;;;;;
13/6/2019;19.188;;;;;;;;
14/6/2019;19.15;;;;;;;;
17/6/2019;19.1771;;;;;;;;
18/6/2019;19.1186;;;;;;;;
19/6/2019;19.0175;;;;;;;;
20/6/2019;18.995;;;;;;;;
21/6/2019;19.1191;;;;;;;;
24/6/2019;19.1925;;;;;;;;
25/6/2019;19.2195;;;;;;;;
26/6/2019;19.1268;;;;;;;;
27/6/2019;19.1779;;;;;;;;
28/6/2019;19.2162;;;;;;;;
1/7/2019;19.1153;;;;;;;;
2/7/2019;19.0508;;;;;;;;
3/7/2019;19.0105;;;;;;;;
4/7/2019;18.998;;;;;;;;
5/7/2019;19.008;;;;;;;;
8/7/2019;18.9138;;;;;;;;
9/7/2019;19.1545;;;;;;;;
10/7/2019;19.13;;;;;;;;
11/7/2019;19.0696;;;;;;;;
12/7/2019;18.9794;;;;;;;;
15/7/2019;18.9706;;;;;;;;
16/7/2019;19.086;;;;;;;;
17/7/2019;19.0624;;;;;;;;
18/7/2019;18.9445;;;;;;;;
19/7/2019;19.0229;;;;;;;;
22/7/2019;19.0511;;;;;;;;
23/7/2019;19.1724;;;;;;;;
24/7/2019;19.05;;;;;;;;
25/7/2019;19.015;;;;;;;;
26/7/2019;19.035;;;;;;;;
29/7/2019;19.0536;;;;;;;;
30/7/2019;19.063;;;;;;;;
31/7/2019;19.1265;;;;;;;;
1/8/2019;19.2323;;;;;;;;
2/8/2019;19.299;;;;;;;;
5/8/2019;19.609;;;;;;;;
6/8/2019;19.5739;;;;;;;;
7/8/2019;19.6215;;;;;;;;
8/8/2019;19.404;;;;;;;;
9/8/2019;19.401;;;;;;;;
12/8/2019;19.6059;;;;;;;;
13/8/2019;19.3698;;;;;;;;
14/8/2019;19.6747;;;;;;;;
15/8/2019;19.602;;;;;;;;
16/8/2019;19.6502;;;;;;;;
19/8/2019;19.8542;;;;;;;;
20/8/2019;19.7612;;;;;;;;
21/8/2019;19.6875;;;;;;;;
22/8/2019;19.8176;;;;;;;;
23/8/2019;19.9129;;;;;;;;
26/8/2019;19.9328;;;;;;;;
27/8/2019;19.978;;;;;;;;
28/8/2019;20.0967;;;;;;;;
29/8/2019;20.132;;;;;;;;
30/8/2019;20.0575;;;;;;;;
2/9/2019;20.1405;;;;;;;;
3/9/2019;19.9727;;;;;;;;
4/9/2019;19.7136;;;;;;;;
5/9/2019;19.7367;;;;;;;;
6/9/2019;19.5293;;;;;;;;
9/9/2019;19.5605;;;;;;;;
10/9/2019;19.49;;;;;;;;
11/9/2019;19.503;;;;;;;;
12/9/2019;19.4295;;;;;;;;
13/9/2019;19.3983;;;;;;;;
16/9/2019;19.44;;;;;;;;
17/9/2019;19.3622;;;;;;;;
18/9/2019;19.397;;;;;;;;
19/9/2019;19.4507;;;;;;;;
20/9/2019;19.4468;;;;;;;;
23/9/2019;19.468;;;;;;;;
24/9/2019;19.4393;;;;;;;;
25/9/2019;19.5636;;;;;;;;
26/9/2019;19.665;;;;;;;;
27/9/2019;19.6867;;;;;;;;
30/9/2019;19.7275;;;;;;;;
1/10/2019;19.815;;;;;;;;
2/10/2019;19.7932;;;;;;;;
3/10/2019;19.645;;;;;;;;
4/10/2019;19.5102;;;;;;;;
7/10/2019;19.566;;;;;;;;
8/10/2019;19.626;;;;;;;;
9/10/2019;19.5625;;;;;;;;
10/10/2019;19.4405;;;;;;;;
11/10/2019;19.317;;;;;;;;
14/10/2019;19.2665;;;;;;;;
15/10/2019;19.24;;;;;;;;
16/10/2019;19.2015;;;;;;;;
17/10/2019;19.193;;;;;;;;
18/10/2019;19.1007;;;;;;;;
21/10/2019;19.1147;;;;;;;;
22/10/2019;19.1419;;;;;;;;
